kv,prob
15000000.0,0.5397887368620413
16770956.825757457,0.23427930923958817
18750999.52342808,0.10781051444969188
20964813.563147392,0.05259108055334567
23439998.87517328,0.027159610785820756
26207413.942088954,0.014816510276299363
29301560.515835248,0.008513970338125829
32761013.755892817,0.005135960385878242
36628903.1512083,0.0032405287905534277
40953450.221584365,0.002130309194938994
45788569.70213332,0.0014534838263091088
51194541.70584425,0.0010253002060745852
57238763.24421022,0.0007450002068799548
63996588.475226946,0.0005556514686955699
71552268.1542532,0.0004240034088874794
80000000.0,0.00033003000686971545
