scenario,kv_MN_m3,h_m,w_max_mm,qsoil_max_kPa,mx_abs_max_kNm_m,my_abs_max_kNm_m,residual_ratio
base,40.0,0.7,5.785726000969857,231.42904003879428,212.4088643398883,212.40886433988751,2.031389837897531e-10
kv_low,25.0,0.7,8.564980576768347,214.12451441920865,228.31086883671566,228.3108688367132,3.247012439480122e-10
kv_high,60.0,0.7,4.180384005928772,250.8230403557263,196.4598376193486,196.4598376193522,1.3559639091972767e-10
thick_80cm,40.0,0.8,5.558897403059727,222.35589612238908,255.86926527575832,255.86926527574767,2.321758903893618e-10
