kv,rmse_mm,mae_mm
15000000.0,8.80619880617965,8.232880622114532
18066286.59917493,9.755588922968673,9.279437603809985
21759380.765568513,10.532669796844775,10.12862933774306
26207413.942088954,11.161918735153604,10.814371508452364
31564710.086732794,11.667075902289385,11.365376754319337
38017139.92311882,12.06971162393691,11.806012057911609
45788569.70213332,12.38883594108091,12.156959477898626
55148628.213669114,12.640872371612447,12.43572028803111
66422061.52396605,12.83976417351044,12.657003882165734
80000000.0,12.997136353099046,12.833040924983916
