kv,q,w_max_mm,qsoil_max_kPa
17032635.94895645,48161.06674266059,9.747280169044444,166.02187461181668
23863775.783867747,50969.872095663064,7.926868885509596,189.16502175191863
22760692.698919572,52885.51895628626,8.258677682784828,187.97322483729064
18090609.060887057,52709.76110205147,9.612865229001427,173.90258681285934
19050213.64650255,48388.0544192052,9.057160277573512,172.54083831839176
20291501.95601137,42370.34796740524,8.391123125527486,170.26849131477323
23576498.312304974,46644.55162412945,7.805923523206946,184.03634277087025
23000808.25897838,50681.60561926559,8.106280572266568,186.45100513618488
24596099.23888639,46700.152931040895,7.599776062477063,186.9248462259991
19064615.430590246,51688.84563279413,9.225762595881246,175.88561594439992
13377586.705400588,54139.607207793684,11.951412888300636,159.88106216528382
24624891.184071854,55634.03396632514,7.956907830179471,195.93798947985877
22264308.932936754,49270.11053442388,8.216695493639888,182.93904687826773
23845706.68117914,55370.15310985972,8.115292905426637,193.5148942546576
21177862.533731814,50025.57156414491,8.52509068765803,180.54319867081898
18914699.38351723,43848.83902254778,8.860151719916123,167.58710627456665
23678687.87846345,39139.78056657409,7.46738216453855,176.81781154331313
18889557.962443054,50821.90034837334,9.237015489536132,174.48313948957707
22579643.553838212,58808.306182559056,8.564352729110158,193.3800318926489
22979971.327855434,48542.39286950781,8.017971434142206,184.25275366415178
22184382.673667427,43691.99841540152,7.984503191609508,177.13127426178426
24289815.580066122,49217.62337585297,7.764433870815646,188.596666805731
17978722.550038826,46804.69949783898,9.324834235552565,167.648607546103
19815916.01713888,48036.07538715028,8.806560175940893,174.51005684632452
26869729.841943737,46409.09426059702,7.174403606185914,192.77428667528244
20097823.229470912,50140.24947792819,8.829812552479797,177.4600118291023
20084816.36821921,50276.72930976355,8.840388071103996,177.55757103191942
18555311.425430153,47082.96249767941,9.146513616410534,169.71640860943484
17413518.49378615,42559.126933742045,9.281754856422308,161.62800984709926
20648920.499327637,54921.88175347938,8.905147771069304,183.88168835957475
18370747.576962117,47206.924804781076,9.214096772283447,169.26984595332058
19050551.512032058,47696.801293805474,9.020768619274595,171.850617259613
15691190.752925167,56825.540160184595,10.856557453568511,170.35231392403503
21316999.6626724,46441.524864009836,8.320417217655748,177.36633102206122
20891515.284619555,47807.71363692134,8.495504337324528,177.48395871376712
19365087.69987596,51819.819157895574,9.136618285393538,176.93141437693615
22858893.4759236,57597.620646206386,8.44154949826189,192.9644807525049
25111728.346847113,48755.706462845286,7.581872117144025,190.39391296625533
18500754.22659947,50497.98750961009,9.348970721467015,172.9630095895356
20385029.636864938,46328.890537775704,8.560475919797728,174.50555533074532
18138574.13529571,54066.36860210424,9.670469440958906,175.40852687794478
24925403.04122228,48867.49575810414,7.622599983665045,189.9963768148656
18056104.367013983,48583.14396687905,9.396736381779448,169.66845281872708
17014605.920089867,48635.64115105346,9.78212607891941,166.43902029344764
21267332.424403265,49593.28519205323,8.481217197129633,180.37286549492163
23703732.791184817,50754.44016110217,7.952441317377421,188.50254402469216
21443358.58200267,49256.21233795254,8.419850547488135,180.54987449665956
23946997.119681064,43888.27198896714,7.613287798407033,182.3153809797562
19089225.97909931,44131.55662159904,8.821911588367609,168.4034638779842
22478820.521035064,54251.61144811512,8.387239635065495,188.53525442354888
18452697.2209602,58290.56659151744,9.787570568321327,180.60707622601478
19108212.213082235,43083.114400258135,8.761309542434347,167.41296200133795
19156386.485491466,51800.10254970538,9.201989367818943,176.27686476532296
19296823.955218792,61327.60299933604,9.650906449900646,186.2318427720183
22566159.95233982,58656.397193614146,8.56103241896715,193.1896269235794
24157656.32927283,41571.07660815622,7.475221128794513,180.58382301473677
18866724.180004552,36357.57156563577,8.477826747057057,159.94881888259067
18060809.79227912,55575.52127891857,9.782257761365166,176.67549676706244
17470366.712181717,46816.557810169106,9.505520066568753,166.06492135295807
20978402.50257909,53936.582505951694,8.764662445631966,183.8686165837066
18931059.84760384,48720.939122799275,9.112501458803953,172.50931047799494
22426945.10750793,51270.293424320866,8.267086905555084,185.40550422988144
19144139.68665829,51572.517461274445,9.194037839468947,176.01194468321552
20228364.524451066,51273.16461749486,8.848120209026456,178.98300094434933
26003693.545407984,48473.96038162306,7.403871720054498,192.52801125780985
18380711.426160626,57068.1539705488,9.747279428076077,179.16193035761836
17882898.06776423,58599.44737838624,10.01760924672093,179.1438850418028
19417406.581364125,50369.197590221345,9.045467694871052,175.63952394990574
22200884.843422614,56065.5484770655,8.53805021223516,189.5522695491928
22990995.955003683,48981.8232237212,8.034598588118904,184.72342363951998
18900713.493506465,51737.363230274925,9.28180756173303,175.43278542617784
20404157.216694076,46788.634463848175,8.577771494464878,175.02219814193828
21232184.22452151,54970.59810080737,8.743675228580125,185.64732325259843
20499520.114921596,57819.99858525487,9.08981884761012,186.3369243075771
21230906.38782325,49220.934995968666,8.473209584429103,179.89391949142103
20300644.669794258,47199.45066415871,8.626565598529968,175.1248429364279
16906106.09561902,52382.64255666506,10.046072438952061,169.83996649719768
17440249.04731722,48208.54013835099,9.596298922490847,167.36184314074228
19732399.838885155,51925.52087091204,9.028199145052197,178.14803535525104
21383485.95983279,50271.11771413881,8.482719564035635,181.39011469875496
